,Unnamed: 0,Station Name,mean_income,median_income,population,sex_ratio,poi_number_100m,poi_number_1000m,traffic_avg_2500m,traffic_avg_5000m,traffic_avg_10000m,Hours Used/Day,Hours Charged/Day,kWh/Day,Sessions/Day
80,55331,PACKSIZE / CLEAN AIR 12,72686.0,59136.0,26761.0,102.6,0,0,0.0,32.13233333,73.45176471,8.910133478,3.570180375,13.72785281,1.670995671
81,55332,PACKSIZE / CLEAN AIR 10,72686.0,59136.0,26761.0,102.6,0,0,0.0,32.13233333,73.45176471,10.35798557,3.323814599,11.74563566,1.515503876
82,55333,TEST / CLEAN AIR 9,72686.0,59136.0,26761.0,102.6,0,0,0.0,32.13233333,73.45176471,10.09828181,2.803093638,13.55581452,1.612903226
83,55334,PACKSIZE / CLEAN AIR 13,72686.0,59136.0,26761.0,102.6,0,0,0.0,32.13233333,73.45176471,13.53840608,4.492667549,16.07998413,2.003968254
84,55336,PACKSIZE / CLEAN AIR 6,72686.0,59136.0,26761.0,102.6,0,0,0.0,32.13233333,73.45176471,22.02149679,4.134758953,13.39627273,1.896694215
85,55337,PACKSIZE / CLEAN AIR 1,72686.0,59136.0,26761.0,102.6,0,0,0.0,32.13233333,73.45176471,10.55556173,3.855051852,13.13140444,1.555555556
86,55342,PACKSIZE / CLEAN AIR 11,72686.0,59136.0,26761.0,102.6,0,0,0.0,32.13233333,73.45176471,10.662564,3.822173203,12.16605392,1.401960784
87,55441,PACKSIZE / CLEAN AIR 14,72686.0,59136.0,26761.0,102.6,0,0,0.0,32.13233333,73.45176471,5.454380144,2.942489712,10.52439815,1.305555556
88,55442,PACKSIZE / CLEAN AIR 5,72686.0,59136.0,26761.0,102.6,0,0,0.0,32.13233333,73.45176471,5.44930719,2.431973856,8.320341176,1.2
89,55458,PACKSIZE / CLEAN AIR 7,72686.0,59136.0,26761.0,102.6,0,0,0.0,32.13233333,73.45176471,10.74929825,3.649385965,11.01576608,1.380116959
90,55541,PACKSIZE / CLEAN AIR 8,72686.0,59136.0,26761.0,102.6,0,0,0.0,32.13233333,73.45176471,5.005249183,2.388337418,10.84811765,1.132352941
91,73562,PACKSIZE / CLEAN AIR 9,72686.0,59136.0,26761.0,102.6,0,0,0.0,32.13233333,73.45176471,11.38627604,4.043365885,12.03480469,1.765625
92,94872,FLEET BUILDING / PSB-FIRE,74870.0,51624.0,13030.0,115.1,0,208,199.355,110.298,78.62944444,45.05851199,4.040931229,11.34167401,1.995594714
93,95005,FLEET BUILDING / PSB-FIRE 2,74870.0,51624.0,13030.0,115.1,0,207,199.355,110.298,78.62944444,61.60603271,7.663449821,16.01808065,2.641129032
94,95027,FLEET BUILDING / SLC FACILITIES,74870.0,51624.0,13030.0,115.1,0,167,199.355,103.69025,74.59226316,29.89823308,3.051652047,11.87945113,1.54887218
95,95037,FLEET BUILDING / 159 S. MAIN ST,74870.0,51624.0,13030.0,115.1,22,308,377.45,115.2512,96.9666875,4.475787037,3.823132716,14.81872222,2.555555556
96,95041,FLEET BUILDING / 300 SOUTH,74870.0,51624.0,13030.0,115.1,19,322,199.355,115.2512,88.06816667,5.416759259,4.459398148,19.578,3.0
97,95042,FLEET BUILDING / LIBERTY PARK,130032.0,90909.0,22812.0,101.2,0,48,199.355,153.4851429,80.13547059,3.98797619,3.28484127,16.223,2.428571429
98,95046,FLEET BUILDING / FAIRMONT PARK,114283.0,90381.0,35166.0,100.0,0,121,123.54,159.3293333,75.32577778,1.579228395,1.510771605,5.615,1.888888889
99,95060,FLEET BUILDING / LIBERTY PARK 2,130032.0,90909.0,22812.0,101.2,0,49,199.355,153.4851429,80.13547059,3.858472222,3.283402778,13.9925,2.0
100,95091,FLEET BUILDING / FLEET,72686.0,59136.0,26761.0,102.6,0,0,59.182,59.182,67.55052632,75.32037814,6.133706407,10.64010584,1.897810219
101,95107,FLEET BUILDING / LIBRA SQ GAR P2,74870.0,51624.0,13030.0,115.1,4,253,199.355,103.69025,75.66647059,13.65479167,5.123541667,17.86225,2.0
102,95241,FLEET BUILDING / LIBRARY POOL,74870.0,51624.0,13030.0,115.1,1,219,199.355,110.298,71.56961111,80.35253953,3.873767018,8.973952569,1.711462451
103,95254,FLEET BUILDING / LIBER SQ GAR P2,74870.0,51624.0,13030.0,115.1,4,253,199.355,103.69025,75.66647059,2.523777778,2.299666667,11.3534,1.2
104,98640,RMP NTO OFFICE / STATION 01,80410.0,67968.0,34588.0,113.6,0,12,60.055,138.749,88.06816667,7.9807543,3.00891504,10.16579079,1.606694561
